Term,CourseID,Course,Subject,CourseDescr,MaxUnits,AcadCareer,Component,AcadGroup,TotalCapacity,EnrlTotal,WLCapacity,WLTotal,TotalSections
2178,100041,AFRICAM 123,AFRICAM,SOCIAL & POLITICAL,3.00,UGRD,LEC,CLS,70,38,50,0,1
2172,100049,AFRICAM 131,AFRICAM,"CARIB SOC, CULTURES",3.00,UGRD,LEC,CLS,35,26,10,0,1
2182,100049,AFRICAM 131,AFRICAM,"CARIB SOC, CULTURES",3.00,UGRD,LEC,CLS,48,43,10,0,1
2178,100054,AFRICAM 136,AFRICAM,CRIMINAL JUST& COMM,3.00,UGRD,LEC,CLS,24,23,20,0,1
2168,100056,AFRICAM 137,AFRICAM,MULTICULTURAL COMM,3.00,UGRD,SEM,CLS,25,23,10,0,1
2178,100056,AFRICAM 137,AFRICAM,MULTICULTURAL COMM,3.00,UGRD,SEM,CLS,28,27,10,0,1
2168,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,61,40,64,0,1
2172,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,40,29,10,0,2
2175,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,50,9,10,0,2
2178,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,61,28,64,0,2
2182,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,60,27,5,0,2
2185,100058,AFRICAM 139,AFRICAM,SEL TOP:AFRICAM SOC,4.00,UGRD,LEC,CLS,25,0,5,0,1
2172,100064,AFRICAM 142AC,AFRICAM,RACE/AMERICAN FILM,4.00,UGRD,LEC,CLS,138,128,10,0,1
2182,100064,AFRICAM 142AC,AFRICAM,RACE/AMERICAN FILM,4.00,UGRD,LEC,CLS,135,129,25,0,1
2168,100072,AFRICAM  15A,AFRICAM,ADVANCED SWAHILI,4.00,UGRD,REC,CLS,10,0,5,0,1
2178,100072,AFRICAM  15A,AFRICAM,ADVANCED SWAHILI,4.00,UGRD,REC,CLS,25,0,5,0,1
2172,100073,AFRICAM  15B,AFRICAM,ADVANCED SWAHILI,4.00,UGRD,REC,CLS,15,3,15,0,1
2182,100073,AFRICAM  15B,AFRICAM,ADVANCED SWAHILI,4.00,UGRD,REC,CLS,15,3,15,0,1
2182,100075,AFRICAM 150B,AFRICAM,AFRIAM LIT '20-PRES,3.00,UGRD,LEC,CLS,35,27,5,0,1
2178,100086,AFRICAM 153C,AFRICAM,TONI MORRISION,3.00,UGRD,LEC,CLS,51,46,15,0,1
2172,100090,AFRICAM 156AC,AFRICAM,POETRY 4 PEOPLE:INT,4.00,UGRD,LEC,CLS,80,80,30,1,1
2182,100090,AFRICAM 156AC,AFRICAM,POETRY 4 PEOPLE:INT,4.00,UGRD,LEC,CLS,100,82,2,0,1
2168,100092,AFRICAM 158A,AFRICAM,POETRY 4 PEOP:TEACH,4.00,UGRD,SEM,CLS,30,14,9,0,1
2178,100092,AFRICAM 158A,AFRICAM,POETRY 4 PEOP:TEACH,4.00,UGRD,SEM,CLS,30,10,20,0,1
2172,100093,AFRICAM 158B,AFRICAM,POET 4 PEOPLE:PRAC,4.00,UGRD,LEC,CLS,15,6,15,0,1
2182,100093,AFRICAM 158B,AFRICAM,POET 4 PEOPLE:PRAC,4.00,UGRD,LEC,CLS,15,10,15,0,1
2168,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,31,27,32,0,2
2172,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,33,23,10,0,1
2175,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,35,16,10,0,1
2178,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,47,0,32,0,2
2182,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,115,20,30,0,2
2185,100094,AFRICAM 159,AFRICAM,SPEC TOP AFAM LIT,4.00,UGRD,LEC,CLS,35,20,10,0,1
2178,100099,AFRICAM 164,AFRICAM,SPOKEN WORD:  ORAL,3.00,UGRD,LEC,CLS,32,14,15,0,1
2168,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,115,48,51,1,4
2172,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,220,78,150,0,5
2175,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,30,0,15,0,3
2178,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,121,81,51,0,4
2182,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,242,108,150,0,6
2185,100105,AFRICAM 197,AFRICAM,FIELD STUDY,4.00,UGRD,FLD,CLS,30,0,15,0,3
2168,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,116,58,139,0,11
2172,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,313,26,268,0,18
2175,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,5,0,5,0,1
2178,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,117,24,139,0,11
2182,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,318,20,268,0,18
2185,100106,AFRICAM 198,AFRICAM,DIRECTED GROUP STDY,4.00,UGRD,GRP,CLS,5,0,5,0,1
2168,100107,AFRICAM 198BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,21,20,0,0,2
2172,100107,AFRICAM 198BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,17,20,0,2
2178,100107,AFRICAM 198BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,17,0,0,2
2182,100107,AFRICAM 198BC,AFRICAM,DIRECTED GROUP STUD,1.00,UGRD,SEM,CLS,20,7,10,0,2
2168,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,11,6,0,0,4
2172,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,13,10,1,0,4
2175,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,22,0,22,0,5
2178,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,11,0,0,0,4
2182,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,13,1,1,0,4
2185,100108,AFRICAM 199,AFRICAM,SUPERV INDEP STUDY,4.00,UGRD,IND,CLS,22,0,22,0,5
2182,100110,AFRICAM 201A,AFRICAM,INTER RES METH,4.00,GRAD,SEM,CLS,25,9,0,0,1
2172,100111,AFRICAM 201B,AFRICAM,QUAL RESEARCH MET,4.00,GRAD,SEM,CLS,15,9,5,0,1
2182,100111,AFRICAM 201B,AFRICAM,QUAL RESEARCH MET,4.00,GRAD,SEM,CLS,15,0,5,0,1
2168,100113,AFRICAM 201D,AFRICAM,THEO OF AFRN DIASP,4.00,GRAD,LEC,CLS,15,9,0,0,1
2178,100113,AFRICAM 201D,AFRICAM,THEO OF AFRN DIASP,4.00,GRAD,LEC,CLS,15,9,0,0,1
2168,100114,AFRICAM  24,AFRICAM,FRESHMAN SEMINARS,1.00,UGRD,SEM,CLS,14,14,0,0,1
2172,100114,AFRICAM  24,AFRICAM,FRESHMAN SEMINARS,1.00,UGRD,SEM,CLS,48,43,11,0,3
2178,100114,AFRICAM  24,AFRICAM,FRESHMAN SEMINARS,1.00,UGRD,SEM,CLS,32,13,5,0,2
2182,100114,AFRICAM  24,AFRICAM,FRESHMAN SEMINARS,1.00,UGRD,SEM,CLS,29,22,11,0,3
2172,100115,AFRICAM 240,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,15,9,5,0,1
2178,100115,AFRICAM 240,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,35,0,15,0,2
2182,100115,AFRICAM 240,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,15,0,5,0,1
2168,100116,AFRICAM 241,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,27,16,17,0,3
2172,100116,AFRICAM 241,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,15,0,15,0,2
2178,100116,AFRICAM 241,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,22,8,15,0,3
2182,100116,AFRICAM 241,AFRICAM,SPEC TOPICS,4.00,GRAD,LEC,CLS,24,4,10,0,2
