CourseID,Term,TotalAttempts
100940,2168,24
100940,2178,11
100965,2168,163
100965,2178,128
100966,2172,86
100966,2182,76
100969,2172,23
100982,2168,19
100985,2168,7
100985,2172,8
100985,2182,2
100986,2175,20
100996,2168,363
100996,2178,234
100997,2172,353
100997,2182,275
100998,2168,122
100998,2178,279
100999,2172,178
100999,2182,315
101002,2168,73
101002,2178,100
101003,2172,66
101003,2182,29
101006,2175,41
101007,2168,112
101007,2172,61
101007,2175,3
101007,2182,90
101012,2168,356
101012,2175,58
101012,2178,295
101013,2172,157
101013,2175,70
101013,2182,216
101015,2168,570
101015,2178,956
101023,2175,153
101024,2175,65
101028,2172,108
101028,2175,37
101028,2182,87
101032,2168,242
101032,2178,147
101047,2168,92
101047,2172,9
101047,2178,37
101049,2172,498
101049,2182,466
101050,2168,156
101050,2178,173
101051,2168,37
101051,2178,58
101052,2168,52
101052,2175,36
101052,2178,15
101052,2182,42
101059,2168,267
101059,2178,383
101062,2172,14
101062,2182,10
101064,2172,11
101064,2182,12
101071,2172,324
101071,2182,366
101073,2172,59
101073,2182,26
101075,2168,627
101075,2178,596
101076,2172,426
101076,2182,360
101092,2168,1
101092,2172,73
101092,2178,41
101092,2182,18
101094,2168,45
101094,2172,157
101094,2175,14
101094,2178,63
101094,2182,199
101095,2168,153
101095,2172,87
101095,2178,157
101095,2182,77
101096,2175,2
101096,2178,3
101096,2182,1
101097,2168,38
101097,2178,48
101098,2172,45
101098,2182,54
101099,2168,40
101099,2178,54
101100,2168,71
101100,2178,163
101101,2172,120
101101,2182,128
101104,2168,87
101104,2178,85
101107,2168,72
101107,2178,94
101108,2172,62
101108,2182,51
101110,2168,15
101110,2178,13
101111,2172,19
101111,2182,10
101112,2168,47
101112,2178,54
101113,2172,85
101113,2182,87
101114,2168,53
101114,2178,54
101115,2172,74
101115,2182,91
101120,2168,146
101120,2172,108
101120,2178,66
101120,2182,124
101127,2172,19
101128,2172,50
101128,2182,94
101129,2172,1
101130,2168,29
101133,2178,22
101147,2168,10
101147,2172,186
101147,2178,87
101147,2182,184
101159,2172,106
101159,2182,134
101165,2168,38
101165,2172,50
101166,2168,134
101166,2172,28
101166,2178,44
101166,2182,1
101176,2172,151
101176,2182,73
101177,2172,101
101177,2182,112
101180,2178,33
101181,2168,126
101181,2178,131
101182,2168,65
101186,2172,64
101186,2182,2
101188,2168,152
101188,2172,87
101188,2178,88
101188,2182,102
101202,2168,148
101202,2172,167
101202,2178,203
101202,2182,177
101209,2168,117
101209,2178,133
101214,2168,41
101214,2178,36
101218,2178,27
101220,2172,166
101220,2178,30
101220,2182,32
101222,2168,137
101222,2178,146
101223,2172,18
101228,2168,86
101228,2172,80
101228,2178,149
101228,2182,28
101240,2178,20
101242,2168,54
101242,2172,36
101242,2178,23
101242,2182,189
101243,2168,55
101243,2172,56
101243,2178,61
101243,2182,58
101245,2172,52
101245,2182,42
101252,2168,83
101279,2168,4
101279,2172,8
101279,2178,2
101279,2182,5
101281,2168,40
101281,2172,204
101281,2178,59
101281,2182,208
101282,2168,143
101282,2172,96
101282,2178,148
101282,2182,126
101283,2175,11
101310,2172,23
101310,2182,20
101311,2168,62
101311,2178,33
101313,2172,73
101313,2182,247
101314,2168,152
101314,2178,89
101316,2168,18
101316,2178,14
101317,2172,22
101317,2182,16
101320,2168,1
101320,2172,24
101320,2178,8
101320,2182,12
101321,2168,33
101321,2178,12
101322,2172,12
101322,2182,7
101323,2168,33
101323,2172,21
101323,2178,20
101323,2182,22
101326,2168,11
101326,2172,19
101326,2178,18
101326,2182,13
101327,2168,21
101327,2178,45
101329,2172,1
101329,2182,1
101330,2172,28
101330,2182,22
101331,2168,35
101331,2172,26
101331,2178,16
101331,2182,27
101334,2168,28
101334,2172,11
101334,2178,5
101334,2182,5
101335,2168,30
101335,2172,19
101335,2178,33
101335,2182,36
101337,2168,3
101337,2178,15
101338,2182,3
101340,2168,27
101340,2172,23
101340,2178,13
101340,2182,25
101342,2175,1
101349,2168,21
101349,2178,62
101350,2172,24
101350,2182,19
101351,2168,25
101351,2178,47
101352,2172,18
101352,2182,19
101354,2172,182
101354,2182,76
101355,2168,401
101355,2172,249
101355,2175,258
101355,2178,446
101355,2182,272
101369,2168,229
101369,2172,144
101369,2175,192
101369,2178,48
101369,2182,102
101370,2168,123
101370,2172,207
101370,2178,320
